stop_id,building_id,chocho_code,parcel_equivalent_per_day_expected,q_kg_customer_day,q_kg_status,Q_kg,evaluation_date
2026-01-01-13111-bldg-100640,13111-bldg-100640,015004,1.549354246204513,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100643,13111-bldg-100643,006004,0.16358551245615172,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100655,13111-bldg-100655,014002,0.7943888160330894,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100656,13111-bldg-100656,015003,1.957138413963722,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10066,13111-bldg-10066,042006,1.489920622842936,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100661,13111-bldg-100661,015004,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100668,13111-bldg-100668,015004,1.6770448815467571,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100671,13111-bldg-100671,015005,2.08659542042954,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100679,13111-bldg-100679,015005,2.320204315989933,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100682,13111-bldg-100682,006004,2.613246834911903,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100683,13111-bldg-100683,015003,0.298337398793302,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100689,13111-bldg-100689,015005,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100690,13111-bldg-100690,015005,1.4846257429716039,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100697,13111-bldg-100697,015004,2.255475812757024,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100699,13111-bldg-100699,006004,2.98867754572481,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100704,13111-bldg-100704,015005,0.830283693146997,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100705,13111-bldg-100705,015004,2.516164874732692,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100709,13111-bldg-100709,015003,0.49075653736845515,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-10071,13111-bldg-10071,042006,0.23360889556039297,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100710,13111-bldg-100710,006004,2.0454056634443,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100711,13111-bldg-100711,015004,2.0524669144392065,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100714,13111-bldg-100714,014002,0.3971944080165447,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100718,13111-bldg-100718,029001,0.4619229112494537,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
2026-01-01-13111-bldg-100719,13111-bldg-100719,006004,2.613246834911903,,BLOCKED_NO_AUTHORIZED_PARCEL_WEIGHT,2000,2026-01-01
