発地コード,発地名,着地コード,着地名,品目コード,品目名称,重量（発→着）,重量（着→発）,トラック台数（発→着）,トラック台数（着→発）
11,埼玉県,40,福岡県,1,農水産品・食料工業品,351.6728261,348.7741778,117.4403911,62.5358309
11,埼玉県,41,佐賀県,1,農水産品・食料工業品,133.4151027,124.8647472,20.8273441,20.4452381
11,埼玉県,42,長崎県,1,農水産品・食料工業品,0.16,59.04615385,0,5.615384615
11,埼玉県,43,熊本県,1,農水産品・食料工業品,53.80264416,145.9023776,29.57797619,13.61538462
11,埼玉県,44,大分県,1,農水産品・食料工業品,0.947403896,0.207965116,12.2952381,0
11,埼玉県,45,宮崎県,1,農水産品・食料工業品,52.66118182,111.002201,8.7,14.31578947
11,埼玉県,46,鹿児島県,1,農水産品・食料工業品,7.465917391,140.7982105,19.0173913,17.6
11,埼玉県,47,沖縄県,1,農水産品・食料工業品,35.10218182,0.038,18,3.8
11,埼玉県,90,全国,1,農水産品・食料工業品,19.4,2263.218155,25.86666667,349.6666667
11,埼玉県,92,東北,1,農水産品・食料工業品,2245.114006,105.8823529,740.4455962,415.5882353
11,埼玉県,93,海外,1,農水産品・食料工業品,16.66666667,365.373841,3.333333333,52.12064531
11,埼玉県,94,不特定,1,農水産品・食料工業品,59.48517647,264.4297619,580.5487616,695.7894737
11,埼玉県,99,全て不明,1,農水産品・食料工業品,7.248062016,21.83631347,7.248062016,259.366078
12,千葉県,01,北海道,1,農水産品・食料工業品,1014.925589,754.6416759,34.40664279,38.58333333
12,千葉県,02,青森県,1,農水産品・食料工業品,127.6939637,90.39143913,15.68367452,6
12,千葉県,03,岩手県,1,農水産品・食料工業品,97.60140014,27.25833333,4.5625,2.666666667
12,千葉県,04,宮城県,1,農水産品・食料工業品,1257.823068,231.7482209,90.52975593,7
12,千葉県,05,秋田県,1,農水産品・食料工業品,22.68561808,50.0620872,7.051282051,0
12,千葉県,06,山形県,1,農水産品・食料工業品,226.753667,202.2357215,7.051282051,0
12,千葉県,07,福島県,1,農水産品・食料工業品,474.5650141,419.9531923,44.95023435,3.230769231
12,千葉県,08,茨城県,1,農水産品・食料工業品,8473.918818,27594.80525,910.3327255,1494.061706
12,千葉県,09,栃木県,1,農水産品・食料工業品,1212.50657,322.0109847,83.06463236,37.01666667
12,千葉県,10,群馬県,1,農水産品・食料工業品,2743.106329,1066.641443,208.6553513,88.60189494
12,千葉県,11,埼玉県,1,農水産品・食料工業品,9509.279507,10021.81813,1446.582138,4267.010125
12,千葉県,12,千葉県,1,農水産品・食料工業品,221023.1511,221023.1511,9336.652102,9336.652102
12,千葉県,13,東京都,1,農水産品・食料工業品,27494.09863,7010.258257,2600.040458,1183.02263
12,千葉県,14,神奈川県,1,農水産品・食料工業品,7300.571454,7186.286998,710.5647011,439.4965304
12,千葉県,15,新潟県,1,農水産品・食料工業品,545.3014336,290.8398371,13.17595308,3
12,千葉県,16,富山県,1,農水産品・食料工業品,120.2436005,5.357246377,8.833333333,5.333333333
12,千葉県,17,石川県,1,農水産品・食料工業品,62.94443762,0.803370968,0,0
12,千葉県,18,福井県,1,農水産品・食料工業品,24.48326011,2.1275,0,0
12,千葉県,19,山梨県,1,農水産品・食料工業品,309.1798357,236.0052448,4.380952381,19.10293661
12,千葉県,20,長野県,1,農水産品・食料工業品,269.6198404,441.1297035,11.57122507,10.55
12,千葉県,21,岐阜県,1,農水産品・食料工業品,33.36509135,74.71810426,4.384615385,6.423076923
12,千葉県,22,静岡県,1,農水産品・食料工業品,964.0761198,631.8234622,63.11081555,57.95323565
12,千葉県,23,愛知県,1,農水産品・食料工業品,1116.407974,431.9336225,63.41915877,15.08473859
12,千葉県,24,三重県,1,農水産品・食料工業品,54.83265831,190.1814087,4.384615385,9.531185031
12,千葉県,25,滋賀県,1,農水産品・食料工業品,5.028684211,121.1621622,0,3.513513514
12,千葉県,26,京都府,1,農水産品・食料工業品,254.8494507,95.97675401,13.76923077,0
12,千葉県,27,大阪府,1,農水産品・食料工業品,990.2327072,164.5648864,56.10645715,9.637681159
12,千葉県,28,兵庫県,1,農水産品・食料工業品,1347.301766,973.6395392,52.62011811,16.2962963
12,千葉県,29,奈良県,1,農水産品・食料工業品,1.140044004,49.66722222,0,0
12,千葉県,30,和歌山県,1,農水産品・食料工業品,0.076389864,99.46488889,0,0
12,千葉県,31,鳥取県,1,農水産品・食料工業品,0,10.215,0,0
12,千葉県,32,島根県,1,農水産品・食料工業品,0.323368421,0.018,0,0
12,千葉県,33,岡山県,1,農水産品・食料工業品,32.9022389,27.03467797,0,4.313559322
12,千葉県,34,広島県,1,農水産品・食料工業品,113.2324304,1641.042712,8.765567766,0
12,千葉県,35,山口県,1,農水産品・食料工業品,0.673789474,37.33333333,0,0
12,千葉県,36,徳島県,1,農水産品・食料工業品,1.87173913,11.32477941,0,4.5625
12,千葉県,37,香川県,1,農水産品・食料工業品,2.232058734,7.56,0,0
12,千葉県,38,愛媛県,1,農水産品・食料工業品,35.83165095,6.146783476,0,0
12,千葉県,39,高知県,1,農水産品・食料工業品,0.005333333,50.89108911,0,0
12,千葉県,40,福岡県,1,農水産品・食料工業品,569.7364366,576.3041578,30.13210702,11.23076923
12,千葉県,41,佐賀県,1,農水産品・食料工業品,152.8658028,31.33830698,13.75562988,2.666666667
12,千葉県,42,長崎県,1,農水産品・食料工業品,0.729347826,3.426666667,0,4.380952381
12,千葉県,43,熊本県,1,農水産品・食料工業品,1.651495466,53.50637218,0,2.666666667
12,千葉県,44,大分県,1,農水産品・食料工業品,0.140333333,656.6844422,0,0
12,千葉県,45,宮崎県,1,農水産品・食料工業品,1.538558273,264.8079208,0,0
12,千葉県,46,鹿児島県,1,農水産品・食料工業品,20.02202239,2.523703704,2.666666667,0
12,千葉県,47,沖縄県,1,農水産品・食料工業品,2.783974638,0.548277778,0,0
12,千葉県,90,全国,1,農水産品・食料工業品,387.0428774,325.0839324,170.6885064,507.2132223
12,千葉県,92,東北,1,農水産品・食料工業品,168.3914191,1.2,82.91954023,0
12,千葉県,93,海外,1,農水産品・食料工業品,135.4431795,3604.757819,0,34.43478261
12,千葉県,94,不特定,1,農水産品・食料工業品,0,4.333333333,0,40
12,千葉県,99,全て不明,1,農水産品・食料工業品,0,55.93333333,0,55.83333333
13,東京都,01,北海道,1,農水産品・食料工業品,1071.525956,1261.02259,30.48,13.5325641
13,東京都,02,青森県,1,農水産品・食料工業品,248.9391283,194.440253,15.75,114.0169198
13,東京都,03,岩手県,1,農水産品・食料工業品,345.9897345,262.2411362,15.75,7.387745098
13,東京都,04,宮城県,1,農水産品・食料工業品,825.26533,202.7134442,88.19204934,14.83494506
13,東京都,05,秋田県,1,農水産品・食料工業品,72.91643829,149.5203384,0,44.2
13,東京都,06,山形県,1,農水産品・食料工業品,590.1482352,261.2819102,255.2423077,14.19333333
13,東京都,07,福島県,1,農水産品・食料工業品,556.62374,133.8689476,24.86561866,3.912280702
13,東京都,08,茨城県,1,農水産品・食料工業品,3014.297523,7176.448145,134.2842707,965.7855397
13,東京都,09,栃木県,1,農水産品・食料工業品,1116.177155,857.6043764,32.93775594,118.6329304
13,東京都,10,群馬県,1,農水産品・食料工業品,2288.316849,2171.066747,31.10084034,54.13367931
13,東京都,11,埼玉県,1,農水産品・食料工業品,10872.11068,20364.8443,1829.616474,8954.382215
13,東京都,12,千葉県,1,農水産品・食料工業品,7010.258257,27494.09863,1183.02263,2600.040458
13,東京都,13,東京都,1,農水産品・食料工業品,61881.28284,61881.28284,8793.516079,8793.516079
13,東京都,14,神奈川県,1,農水産品・食料工業品,9594.596904,29053.73094,1102.930791,3131.916764
13,東京都,15,新潟県,1,農水産品・食料工業品,367.8769359,317.5579976,4,15.6575641
13,東京都,16,富山県,1,農水産品・食料工業品,10.81267029,78.7503425,3.529411765,0
13,東京都,17,石川県,1,農水産品・食料工業品,243.6331184,33.08416734,47.7943038,6.23
13,東京都,18,福井県,1,農水産品・食料工業品,38.207125,2.323333333,0,1.733333333
13,東京都,19,山梨県,1,農水産品・食料工業品,733.2275536,445.9692048,24.98076923,28.06227106
13,東京都,20,長野県,1,農水産品・食料工業品,1147.9047,369.8167784,51.96153846,6.461538462
13,東京都,21,岐阜県,1,農水産品・食料工業品,121.5010589,1768.721137,0,0
13,東京都,22,静岡県,1,農水産品・食料工業品,815.1171113,1212.699748,12.46,10.93966818
13,東京都,23,愛知県,1,農水産品・食料工業品,875.5047643,424.7735778,40.99050909,12.46
