scenario_id,scenario_route_proxy_id,seed,customer_count,vehicle_count,charger_condition,charger_candidate_count,nearest_candidate_charger_id,nearest_charger_haversine_distance_km,nearest_charger_distance_km,maximum_charger_access_distance_km,charger_geographically_accessible,charger_public_access_known,charger_power_known,charger_connector_compatibility_known,charger_operating_status_known,charger_arrival_soc_feasible,charging_assisted_range_evaluated,charging_assisted_range_feasible,charging_duration_evaluated,charging_duration_feasible
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S004_R02,4,25,3,conservative,12,62647_79569,4.801591703385913,6.0019896292323915,3.0,False,False,True,True,True,Not evaluated,True,False,False,
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S004_R03,4,25,3,balanced,106,17738_17979,0.17541399427082452,0.21926749283853064,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S004_R03,4,25,3,broad,106,17738_17979,0.17541399427082452,0.21926749283853064,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S004_R03,4,25,3,conservative,12,62645_79567,0.8339824717836193,1.042478089729524,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R01,4,25,5,balanced,106,17738_17979,0.17541399427082452,0.21926749283853064,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R01,4,25,5,broad,106,17738_17979,0.17541399427082452,0.21926749283853064,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S004_R01,4,25,5,conservative,12,62645_79567,0.8339824717836193,1.042478089729524,3.0,True,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R02,4,25,5,balanced,106,17111_17352,1.3659000826990846,1.7073751033738558,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R02,4,25,5,broad,106,17111_17352,1.3659000826990846,1.7073751033738558,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S004_R02,4,25,5,conservative,12,62645_79567,7.298924407344185,9.123655509180232,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R03,4,25,5,balanced,106,17119_17360,0.4041539990686347,0.5051924988357934,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R03,4,25,5,broad,106,17119_17360,0.4041539990686347,0.5051924988357934,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S004_R03,4,25,5,conservative,12,62644_79566,3.4013145761387196,4.251643220173399,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R04,4,25,5,balanced,106,17123_17364,0.8042062907784031,1.0052578634730038,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R04,4,25,5,broad,106,17123_17364,0.8042062907784031,1.0052578634730038,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S004_R04,4,25,5,conservative,12,62647_79569,4.801591703385913,6.0019896292323915,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V05_CHG_balanced_SPEED25_T480,C025_V05_CHG_balanced_SPEED25_T480__S004_R05,4,25,5,balanced,106,17702_17943,0.2662227895021534,0.33277848687769174,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_broad_SPEED25_T480,C025_V05_CHG_broad_SPEED25_T480__S004_R05,4,25,5,broad,106,17702_17943,0.2662227895021534,0.33277848687769174,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V05_CHG_conservative_SPEED25_T480,C025_V05_CHG_conservative_SPEED25_T480__S004_R05,4,25,5,conservative,12,62642_79564,5.0059703380110205,6.257462922513776,3.0,False,False,True,True,True,Not evaluated,False,,False,
C025_V01_CHG_balanced_SPEED25_T480,C025_V01_CHG_balanced_SPEED25_T480__S005_R01,5,25,1,balanced,106,17737_17978,0.10816837116028846,0.13521046395036057,5.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_broad_SPEED25_T480,C025_V01_CHG_broad_SPEED25_T480__S005_R01,5,25,1,broad,106,17737_17978,0.10816837116028846,0.13521046395036057,10.0,True,False,True,True,False,Not evaluated,True,False,True,True
C025_V01_CHG_conservative_SPEED25_T480,C025_V01_CHG_conservative_SPEED25_T480__S005_R01,5,25,1,conservative,12,62650_79572,1.0058944696237773,1.2573680870297217,3.0,True,False,True,True,True,Not evaluated,True,False,True,True
C025_V03_CHG_balanced_SPEED25_T480,C025_V03_CHG_balanced_SPEED25_T480__S005_R01,5,25,3,balanced,106,17098_17339,0.37964622461234776,0.4745577807654347,5.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_broad_SPEED25_T480,C025_V03_CHG_broad_SPEED25_T480__S005_R01,5,25,3,broad,106,17098_17339,0.37964622461234776,0.4745577807654347,10.0,True,False,True,True,False,Not evaluated,False,,False,
C025_V03_CHG_conservative_SPEED25_T480,C025_V03_CHG_conservative_SPEED25_T480__S005_R01,5,25,3,conservative,12,62643_79565,1.7710308522713831,2.213788565339229,3.0,True,False,True,True,True,Not evaluated,False,,False,
