scenario_depot_id,hub_id,facility_name,facility_major_type_code,facility_major_type,address_or_municipality,longitude,latitude,depot_priority_rank,scenario_role,selection_rule,limitation
DEP_047,P31_13_0465,川口支店、東京中野店、東京新宿店,5,truck_terminal_or_parcel_operator_terminal,板橋区高島平6-1-1板橋トラックターミナル5号棟,139.64514,35.793091,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_048,P31_13_0466,東京江東店,5,truck_terminal_or_parcel_operator_terminal,江戸川区臨海町4-3-1トラックターミナル5棟,139.864996,35.645561,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_049,P31_13_0467,東京文京店,5,truck_terminal_or_parcel_operator_terminal,江東区辰巳3-12-20,139.817677,35.643173,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_050,P31_13_0468,東京港店,5,truck_terminal_or_parcel_operator_terminal,大田区平和島2-1京浜トラックターミナル9号棟,139.745859,35.586325,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_051,P31_13_0469,東京台東店,5,truck_terminal_or_parcel_operator_terminal,足立区入谷6-1-1,139.766547,35.800094,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_052,P31_13_0470,東京支店,5,truck_terminal_or_parcel_operator_terminal,江東区潮見2-8-13,139.819238,35.660363,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_053,P31_13_0471,深川支店,5,truck_terminal_or_parcel_operator_terminal,江東区新砂1-3-7,139.821413,35.666107,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_054,P31_13_0472,錦糸町支店,5,truck_terminal_or_parcel_operator_terminal,江東区毛利1-4-1,139.811803,35.691614,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_055,P31_13_0473,浅草支店,5,truck_terminal_or_parcel_operator_terminal,台東区今戸2-26-10,139.807379,35.72157,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_056,P31_13_0474,板橋支店,5,truck_terminal_or_parcel_operator_terminal,板橋区富士見町4-8,139.701599,35.762108,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_057,P31_13_0475,足立東支店,5,truck_terminal_or_parcel_operator_terminal,足立区入谷6-1-1（足立トラックターミナル内）,139.766902,35.800788,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_058,P31_13_0476,足立支店,5,truck_terminal_or_parcel_operator_terminal,足立区入谷7-19-27,139.760567,35.799174,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_059,P31_13_0477,世田谷支店,5,truck_terminal_or_parcel_operator_terminal,世田谷区八幡山2-6-1,139.617865,35.66004,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_060,P31_13_0478,京浜ターミナル支店,5,truck_terminal_or_parcel_operator_terminal,大田区平和島2-1-1（京浜トラックターミナル内）,139.743976,35.585805,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_061,P31_13_0479,大森支店,5,truck_terminal_or_parcel_operator_terminal,大田区平和島5-5-31,139.746402,35.576794,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_062,P31_13_0480,八王子支店,5,truck_terminal_or_parcel_operator_terminal,八王子市石川町2968-9,139.366829,35.671219,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_063,P31_13_0481,大井営業所,5,truck_terminal_or_parcel_operator_terminal,大田区東海4-9-13,139.763941,35.586412,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_064,P31_13_0482,世田谷営業所,5,truck_terminal_or_parcel_operator_terminal,世田谷区玉川台2-38-15,139.627851,35.626611,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_065,P31_13_0483,江東航空営業所,5,truck_terminal_or_parcel_operator_terminal,江東区森下4-19-19,139.80428,35.68683,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_066,P31_13_0484,池袋航空営業所,5,truck_terminal_or_parcel_operator_terminal,板橋区板橋2-10-7,139.711432,35.74727,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_067,P31_13_0485,芝浦営業所,5,truck_terminal_or_parcel_operator_terminal,港区海岸33-12-4,139.755691,35.640226,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_068,P31_13_0486,渋谷営業所,5,truck_terminal_or_parcel_operator_terminal,目黒区青葉台3-5-46,139.691788,35.653114,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_069,P31_13_0487,府中支店,5,truck_terminal_or_parcel_operator_terminal,府中市是政4-23,139.492692,35.656869,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_070,P31_13_0488,八王子北支店,5,truck_terminal_or_parcel_operator_terminal,八王子市滝山町1-208-3,139.3438,35.693012,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_071,P31_13_0489,三鷹営業所,5,truck_terminal_or_parcel_operator_terminal,三鷹市下連雀2-25-13,139.565858,35.696638,1,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_072,P31_13_0063,(株)青葉,4,bonded_area_or_warehouse,江東区新木場1-7-19、1-7-18,139.832422,35.645735,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_073,P31_13_0064,(株)朝田商会　東京油槽所,4,bonded_area_or_warehouse,江東区若洲2-8-14,139.832693,35.620503,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_074,P31_13_0065,東海運(株)　青海流通センター,4,bonded_area_or_warehouse,江東区青海4-4-14,139.783473,35.616824,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_075,P31_13_0066,東海運(株)　お台場流通センター,4,bonded_area_or_warehouse,江東区青海4-2-62,139.781903,35.621946,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_076,P31_13_0067,東海運(株)　お台場流通センター,4,bonded_area_or_warehouse,江東区青海4-1-7,139.781186,35.621025,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_077,P31_13_0068,イイノエンタープライズ(株)有明倉庫,4,bonded_area_or_warehouse,江東区有明4-2-7,139.78819,35.625822,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_078,P31_13_0069,(株)石井鐵工所,4,bonded_area_or_warehouse,大田区東糀谷6-5-1,139.748606,35.559249,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_079,P31_13_0070,伊勢湾海運(株)　東京支店青海第2バンプール,4,bonded_area_or_warehouse,江東区青海3-1-16,139.783117,35.613279,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_080,P31_13_0071,伊勢湾海運(株)　ワールド流通センター,4,bonded_area_or_warehouse,江東区青海3-2-17,139.785214,35.610869,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_081,P31_13_0072,伊藤忠ロジスティクス(株)板橋事業所,4,bonded_area_or_warehouse,板橋区舟渡4-2-25,139.679151,35.793696,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_082,P31_13_0073,(株)OCS　新木場,4,bonded_area_or_warehouse,江東区新木場1-12-10,139.836047,35.641215,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_083,P31_13_0074,カトーレック(株)　美術品,4,bonded_area_or_warehouse,江東区枝川2-8-7,139.80793,35.658504,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
