mesh_code,total_population,total_households,htksyori,htksaki
533932633,2137,1041,0,
533932634,3300,1469,0,
533932641,1759,851,0,
533932642,1901,878,0,
533932643,1886,693,0,
533932644,2231,1203,0,
533932651,2630,1112,0,
533932652,325,102,0,
533932653,2453,1017,0,
533932654,532,257,0,
533932661,2086,972,0,
533932662,1490,663,0,
533932663,755,318,0,
533932664,441,156,0,
533932671,1312,626,0,
533932672,1315,516,0,
533932673,1854,956,0,
533932674,2090,918,0,
533932681,663,283,0,
533932682,2075,898,0,
533932683,1516,770,0,
533932684,2137,931,0,
533932691,454,201,0,
533932692,660,303,0,
533932693,1106,477,0,
533932694,1036,501,0,
533932711,58,22,0,
533932712,359,130,0,
533932713,248,110,0,
533932714,13,4,0,
533932721,1278,614,0,
533932722,2362,1359,0,
533932724,525,267,0,
533932731,2549,1103,0,
533932732,3079,1378,0,
533932733,1480,696,0,
533932734,2490,1226,0,
533932741,1917,837,0,
533932742,2432,1130,0,
533932743,2022,944,0,
533932744,2457,1035,0,
533932751,2316,1153,0,
533932752,1875,954,0,
533932753,2098,908,0,
533932754,1704,782,0,
533932761,1454,571,0,
533932762,1872,925,0,
533932763,1879,850,0,
533932764,1968,954,0,
533932771,2057,1073,0,
533932772,1836,902,0,
533932773,2941,1466,0,
533932774,2380,1149,0,
533932781,2179,1187,0,
533932782,2488,1274,0,
533932783,2736,1768,0,
533932784,1578,906,0,
533932791,1590,742,0,
533932792,1445,738,0,
533932793,743,388,0,
533932794,1473,525,0,
533932804,22,11,0,
533932811,266,91,0,
533932812,1338,590,0,
533932813,121,58,0,
533932814,695,309,0,
533932821,267,111,0,
533932822,974,396,0,
533932823,1170,520,0,
533932824,1127,432,0,
533932831,2679,1208,0,
533932832,2498,1290,0,
533932833,1751,875,0,
533932834,2465,1260,0,
533932841,2963,1458,0,
533932842,2638,1343,0,
533932843,1573,832,0,
533932844,3608,2050,0,
533932851,3006,1438,0,
533932852,1554,721,0,
533932853,3982,2322,0,
533932854,3068,1302,0,
533932861,2576,1256,0,
533932862,2898,1658,0,
533932863,2910,1590,0,
533932864,4883,2958,0,
533932871,3901,2254,0,
533932872,4347,2100,0,
533932873,1822,1034,0,
533932874,3501,2147,0,
533932881,1230,692,0,
533932882,619,263,0,
533932883,710,341,0,
533932884,2209,886,0,
533932891,1188,542,0,
533932892,2019,741,0,
533932893,2776,1227,0,
533932894,2477,1077,0,
533932901,24,12,0,
533932903,241,94,0,
533932912,94,40,0,
533932914,874,303,0,
533932921,583,221,0,
533932922,1411,540,0,
533932923,1090,349,0,
533932924,1531,616,0,
533932931,235,38,0,
533932932,1959,761,0,
533932933,557,226,0,
533932934,2219,865,0,
533932941,1939,840,0,
533932942,3016,1706,0,
533932943,2335,1049,0,
533932944,2452,1111,0,
533932951,3861,2156,0,
533932952,3628,1990,0,
533932953,2711,1357,0,
533932954,2136,1087,0,
533932961,5591,3047,0,
533932962,6739,4091,0,
533932963,2042,1164,0,
533932964,3117,1827,0,
533932971,4732,2680,0,
533932972,2966,1721,0,
533932973,1797,1025,0,
533932974,3664,1941,0,
533932981,2514,1188,0,
533932982,2467,1139,0,
533932983,1888,1018,0,
533932984,2136,986,0,
533932991,1861,906,0,
533932992,4291,1777,0,
533932993,1638,876,0,
533932994,2414,1231,0,
533933003,279,105,0,
533933004,1655,651,0,
533933011,425,169,0,
533933012,1509,647,0,
533933013,2027,810,0,
533933014,1862,735,0,
533933021,1013,444,0,
533933022,363,161,0,
533933023,1938,840,0,
533933024,1045,384,0,
533933031,898,340,0,
533933032,852,302,0,
533933033,749,266,0,
533933034,510,157,0,
533933041,523,216,0,
533933042,1551,565,0,
533933043,72,30,0,
533933044,647,232,0,
533933051,1267,493,0,
533933052,592,212,0,
533933053,118,58,0,
533933054,228,99,0,
533933061,2247,724,0,
533933062,1802,656,0,
533933063,890,351,0,
533933064,1439,590,0,
533933071,1768,700,0,
533933072,2195,1088,0,
533933073,2238,1059,0,
533933074,2437,1217,0,
533933081,2367,1287,0,
533933082,1627,856,0,
533933083,2301,1017,0,
533933084,1843,680,0,
533933091,2302,995,0,
533933092,12,6,0,
533933093,929,346,0,
533933101,1650,641,0,
533933102,1623,581,0,
533933103,1281,465,0,
533933104,2512,631,0,
533933111,1165,452,0,
533933112,1292,478,0,
533933113,317,15,0,
533933114,265,104,0,
533933121,2023,736,0,
533933122,1331,525,0,
533933123,561,188,0,
533933124,274,114,0,
533933131,153,60,0,
533933132,217,74,0,
533933133,164,66,0,
533933134,77,35,0,
533933141,40,12,0,
533933142,245,106,0,
533933144,119,52,0,
533933151,23,8,0,
533933152,537,215,0,
533933153,473,199,0,
533933154,626,156,0,
533933161,936,373,0,
533933162,2011,899,0,
533933163,149,61,0,
533933164,881,405,0,
533933171,2027,934,0,
533933172,3034,1500,0,
533933173,2396,1012,0,
533933174,2490,886,0,
533933181,1399,576,0,
533933182,715,283,0,
533933183,693,265,0,
533933201,447,84,0,
533933202,589,209,0,
533933203,2259,943,0,
533933204,2468,1091,0,
533933212,84,31,1,
533933213,135,66,0,
533933214,4,1,2,533933212
533933221,91,37,1,
533933222,46,25,0,
533933223,7,5,2,533933221
533933224,41,18,0,
533933231,7,6,2,533933232
533933232,93,36,1,
533933233,12,5,2,533933234
533933234,399,128,1,
533933241,10,4,0,
533933242,375,178,0,
533933243,1051,470,0,
533933244,161,86,0,
533933251,16,4,0,
533933252,253,112,0,
533933253,31,13,0,
533933254,268,101,0,
533933261,129,61,1,
533933262,765,180,0,
533933263,9,3,2,533933261
533933264,310,54,0,
533933271,1472,624,0,
533933272,716,289,0,
533933273,1428,550,0,
533933293,1637,719,0,
533933294,1693,711,0,
533933301,2607,1128,0,
533933302,2549,1319,0,
533933303,729,299,0,
533933304,3611,1539,0,
533933311,1270,485,0,
533933312,403,172,0,
533933313,3014,1073,0,
533933314,2039,789,0,
533933321,12,2,2,533933322
533933322,50,16,1,
533933323,1419,573,0,
533933324,1505,743,0,
533933331,25,11,0,
533933332,1726,711,0,
533933333,2514,1098,0,
533933334,1500,624,0,
533933341,2220,1067,0,
533933342,1508,761,0,
