ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at
17124,17365,日産プリンス西東京販売八王子高倉店,35.66745472,139.3681909,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17087,17328,日産プリンス西東京販売多摩センター店,35.62756278,139.4261407,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17123,17364,日産プリンス西東京販売府中店,35.67065665,139.4982911,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17125,17366,日産プリンス西東京販売忠生公園店,35.57174645,139.4215159,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17090,17331,日産プリンス西東京販売拝島橋店,35.69985647,139.3482689,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17126,17367,日産プリンス西東京販売東大和店,35.74616947,139.421919,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17127,17368,日産プリンス西東京販売立川店,35.68872551,139.4157805,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17122,17363,日産プリンス西東京販売調布多摩川店,35.64593484,139.5293563,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17092,17333,日産プリンス西東京販売青梅新町店,35.78214999,139.3224422,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17738,17979,日産レンタカー　西新宿山手通り店,35.68840521,139.6830833,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17737,17978,日産レンタカー　都立大学駅前店,35.61913473,139.6770259,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17706,17947,日産レンタカー新小岩店,35.71931606,139.8573368,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17715,17956,日産レンタカー東京駅八重洲口店,35.67803558,139.7685405,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17700,17941,日産レンタカー立川駅前店,35.69873545,139.4099888,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17728,17969,日産レンタカー練馬駅前店,35.7358274,139.6540779,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17695,17936,日産レンタカー調布駅南口店,35.65177889,139.5422994,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17102,17343,日産自動車販売三田高輪店,35.6479522,139.7406554,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17117,17358,日産自動車販売中央晴海店,35.65451886,139.7799407,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17110,17351,日産自動車販売丸山店,35.72347359,139.6780487,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17698,17939,昭島市保健福祉センターあいぽっく,35.7107889,139.3640032,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17086,17327,東京日産自動車販売八王子店,35.6624438,139.3481845,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
