origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
13,東京都,99,全て不明,1,農水産品・食料工業品,2241.91921,324.5680579,420.1415094,0.0,"Agricultural, marine, and food products",Tokyo outbound,99,全て不明,2241.91921,324.5680579,420.1415094,0.0
14,神奈川県,13,東京都,1,農水産品・食料工業品,29053.73094,9594.596904,3131.916764,1102.930791,"Agricultural, marine, and food products",Tokyo inbound,14,神奈川県,9594.596904,29053.73094,1102.930791,3131.916764
15,新潟県,13,東京都,1,農水産品・食料工業品,317.5579976,367.8769359,15.6575641,4.0,"Agricultural, marine, and food products",Tokyo inbound,15,新潟県,367.8769359,317.5579976,4.0,15.6575641
16,富山県,13,東京都,1,農水産品・食料工業品,78.7503425,10.81267029,0.0,3.529411765,"Agricultural, marine, and food products",Tokyo inbound,16,富山県,10.81267029,78.7503425,3.529411765,0.0
17,石川県,13,東京都,1,農水産品・食料工業品,33.08416734,243.6331184,6.23,47.7943038,"Agricultural, marine, and food products",Tokyo inbound,17,石川県,243.6331184,33.08416734,47.7943038,6.23
18,福井県,13,東京都,1,農水産品・食料工業品,2.323333333,38.207125,1.733333333,0.0,"Agricultural, marine, and food products",Tokyo inbound,18,福井県,38.207125,2.323333333,0.0,1.733333333
19,山梨県,13,東京都,1,農水産品・食料工業品,445.9692048,733.2275536,28.06227106,24.98076923,"Agricultural, marine, and food products",Tokyo inbound,19,山梨県,733.2275536,445.9692048,24.98076923,28.06227106
20,長野県,13,東京都,1,農水産品・食料工業品,369.8167784,1147.9047,6.461538462,51.96153846,"Agricultural, marine, and food products",Tokyo inbound,20,長野県,1147.9047,369.8167784,51.96153846,6.461538462
21,岐阜県,13,東京都,1,農水産品・食料工業品,1768.721137,121.5010589,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,21,岐阜県,121.5010589,1768.721137,0.0,0.0
22,静岡県,13,東京都,1,農水産品・食料工業品,1212.699748,815.1171113,10.93966818,12.46,"Agricultural, marine, and food products",Tokyo inbound,22,静岡県,815.1171113,1212.699748,12.46,10.93966818
23,愛知県,13,東京都,1,農水産品・食料工業品,424.7735778,875.5047643,12.46,40.99050909,"Agricultural, marine, and food products",Tokyo inbound,23,愛知県,875.5047643,424.7735778,40.99050909,12.46
24,三重県,13,東京都,1,農水産品・食料工業品,27.45005893,9.504232572,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,24,三重県,9.504232572,27.45005893,0.0,0.0
25,滋賀県,13,東京都,1,農水産品・食料工業品,59.43809524,58.54954591,0.0,0.0,"Agricultural, marine, and food products",Tokyo inbound,25,滋賀県,58.54954591,59.43809524,0.0,0.0
26,京都府,13,東京都,1,農水産品・食料工業品,86.9824679,103.3510898,10.11229947,3.529411765,"Agricultural, marine, and food products",Tokyo inbound,26,京都府,103.3510898,86.9824679,3.529411765,10.11229947
27,大阪府,13,東京都,1,農水産品・食料工業品,546.2129623,1187.616063,50.63745098,155.6965495,"Agricultural, marine, and food products",Tokyo inbound,27,大阪府,1187.616063,546.2129623,155.6965495,50.63745098
