ocm_id,uuid,title,address_line_1,town,state_or_province,postcode,latitude,longitude,operator,usage_type,status_type,data_provider,connection_count,connection_types,max_power_kw,has_power_kw,is_fast_charger_proxy,date_last_verified,date_last_status_update,date_created,source,downloaded_at,boundary_filter
17719,852BF0DA-5429-4BD5-830D-51EBE6A6D028,区営月島出張所地下駐車場,東京都中央区月島4-1-1,,,,35.66201532,139.7823179,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17718,B42BF839-2673-4EB6-8649-314FA5788567,区営浜町公園地下駐車場,東京都中央区日本橋浜町2-59-4,,,,35.68883755,139.7882467,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17713,83C780CA-C302-4FCF-8A86-7A7136D170CB,千代田区本庁舎地下駐車場,東京都千代田区九段南1-2-1,,,,35.69397529,139.7536522,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17699,0D74F1DD-2A06-4B21-ADCB-E223B47682D2,国立市役所庁舎駐車場,東京都国立市富士見台2丁目47-1,,,,35.68390149,139.4422479,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17731,17EBFA60-174A-4A62-B4F0-E39EC01AB7CD,大谷田駐車場,東京都足立区大谷田3-4-20,,,,35.77621805,139.842766,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17101,6F1B84E5-80AC-4803-8A33-62BFFC807B8B,太洋日産自動車販売芝浦中央支店,東京都港区芝浦4-2-19,,,,35.64121133,139.744522,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17093,5BF33D5F-3402-49D2-B560-70E48EDE33A5,平和島ＰＡ（上り）,東京都大田区平和島2-1-2,,,,35.58601443,139.7427691,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17726,3D27615C-6FEE-483B-B7E6-4C5E9130EEEC,愛工大興,東京都豊島区池袋本町1-15-9,,,,35.73889755,139.7130146,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17716,AF7CB017-05E8-4B2E-8896-FE85AAFAD760,日本パーキングセンター,東京都千代田区大手町2-6-2 B3F,,,,35.6851654,139.7694568,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17720,66A3F404-7C14-4A08-92A9-08E8DB29CF64,日本橋兜町パーキング,東京都中央区日本橋兜町1-13,,,,35.68126594,139.7768536,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,2013-06-29T09:02:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17105,31018B0D-5FEC-4F44-AC28-F950B6E341AB,日産プリンス東京販売亀戸店,東京都江東区亀戸9-8-9,,,,35.69667935,139.843689,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17128,E1CE8963-930D-4E56-8D4E-D0A896C07551,日産プリンス東京販売成城店,東京都世田谷区喜多見7-35-24,,,,35.63320407,139.5981318,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17119,CC7EFE51-7492-4ADD-BD26-5C3F68A442A2,日産プリンス東京販売江戸川店,東京都江戸川区中央1-17-8,,,,35.70605659,139.8700947,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17118,1F1F4F27-C9DA-4970-A668-3B65A8325581,日産プリンス東京販売江東店,東京都江東区南砂6-6-2,,,,35.67322894,139.835588,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17116,D06E12EC-6152-4A34-9DFC-D125AA2A55B3,日産プリンス東京販売池上店,東京都大田区池上2-7-15,,,,35.57887279,139.7009646,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17120,4F9C5984-0CD3-49A5-B095-3A3BF6004980,日産プリンス東京販売王子店,東京都北区上中里3-7-8,,,,35.75062469,139.7478806,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17112,A095F6DA-5A3F-4C3E-B841-AE3309E3FD55,日産プリンス東京販売荻窪店,東京都杉並区桃井3-5-5,,,,35.71198187,139.6047387,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17100,42C913AC-BB42-4C2A-9B8C-0923FE2B56E4,日産プリンス東京販売足立店,東京都足立区平野2丁目10-1,,,,35.78501086,139.8032272,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17096,9A3FD250-0F52-4FD9-B9DD-F1632C1AE098,日産プリンス東京販売鮫洲店,東京都品川区東大井1-9-35,,,,35.60626789,139.7473956,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17109,7F5F83E5-D049-43E7-8A7F-355560594A7E,日産プリンス東京販売２４６上馬店,東京都世田谷区上馬3-15-12,,,,35.63341906,139.662532,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17121,2FD8A194-2F1F-434C-AA31-4B3E337FABAE,日産プリンス西東京販売三鷹店,東京都三鷹市下連雀5-9-13,,,,35.69051968,139.5702981,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
