ocm_id,title,latitude,longitude,town,postcode,operator,usage_type,status_type,connection_count,connection_types,max_power_kw,is_fast_charger_proxy,source,downloaded_at
55149,城山トラストタワー,35.6646893,139.74331089999998,東京,105-0001,,,,1,,,no,Open Charge Map,2026-07-04
55152,御殿山トラストタワー,35.6221997,139.73700459999998,東京,140-0001,,,,1,,,no,Open Charge Map,2026-07-04
55155,虎ノ門2丁目タワー,35.6684472,139.74666049999996,東京,105-0001,,,,1,,,no,Open Charge Map,2026-07-04
55059,ENEOS東名横浜インターSS,35.5032939,139.48857850000002,横浜市,226-0026,,,,1,,,no,Open Charge Map,2026-07-04
55058,トーニチユニオンサービス,35.5158152,139.5685365,横浜市,224-0053,,,,1,,,no,Open Charge Map,2026-07-04
55029,お台場タイム24ビル,35.6177178,139.77712680000002,江東区,135-0064,,,,1,,,no,Open Charge Map,2026-07-04
55089,ヒルトン東京ベイ,35.6270075,139.87505110000006,浦安市,279-0031,,,,1,,,no,Open Charge Map,2026-07-04
55006,グランドハイアット東京,35.6600777,139.7283208,港区,106-0032,,,,1,,,no,Open Charge Map,2026-07-04
62642,海岸通り,35.643322,139.756592,港区,105-0022,,,,2,,50.0,yes,Open Charge Map,2026-07-04
62650,環八通り,35.74485,139.629562,練馬区,176-0021,,,,1,,50.0,yes,Open Charge Map,2026-07-04
62648,産業道路,35.710407,139.933212,鬼高三丁目,,,,,1,,50.0,yes,Open Charge Map,2026-07-04
