Deleted path,SHA-256,Size,Modified date,Git status,Latest retained,Reason,Deletion timestamp,Result
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/947_20260704_v02_commercial_ev_delivery_evidence.csv,1f794ae9960fe515ad77d063a384cd12a986262e11e7b136f0252d4a921dfcf3,4810,2026-07-04T17:51:14.315508,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/935_20260711_v03_scenario_customers_seeded.csv,e6fc4a3f741e42474e24e40858951652106d9f64062da4b34432508f51b118b2,4660142,2026-07-11T12:41:42.889244,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/941_20260711_v03_synthetic_customer_node_rules.csv,04409693bc58abaa8c31240b9e3af0991f39aadb5910dd9a94477846ce69ea85,2732,2026-07-11T12:39:57.947191,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/910_20260711_v03_feasibility_effect_sizes.csv,e670163e55da84b9e42a386484296987bb81deb7edfcfaad62885e4be8d02b40,873,2026-07-11T12:41:54.884907,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/930_20260711_v03_problem_structure_growth_score.csv,d685adfc3a8fa3c215b214a0c72dfd43b1c803d6f4f57648f227e9ffc49511dc,1181,2026-07-11T12:41:57.651023,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/937_20260706_v03_service_candidate_traceability_matrix.csv,b77d7b1ef7f9106ed92e96f8343ce6c29594c5e55b69c5450f87fe445e97d5d0,5185,2026-07-06T11:52:14.070977,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/900_20260711_v04_tokyo_open_data_coverage_summary.csv,64e9f83a9f1bf3c2d0aba2ab876fdd5ccf8a9ac9f870335785e79e520a26ab67,3389,2026-07-11T12:41:57.018804,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/934_20260711_v03_scenario_customers.csv,059810b6c3c2648ffc28e9c0d62db9f610e40096ec2a70d6181a1a3d892b70d2,46642,2026-07-11T12:41:43.635922,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/946_20260711_v02_charger_sensitivity_scenarios.csv,83b68091bd8db9fbd91ee67891372f51697dd93872df55a19149c8e219e11658,21672,2026-07-11T12:41:44.351887,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
/Users/tstakuma/Desktop/github/research/90_archive/deprecated_outputs/legacy_evrp_outputs/use_case_scenario/907_20260711_v03_feasibility_anova_results.csv,e635fea23c116f9b5ba6e54c224387e8e4b3b67253de048b99166a67012da464,451,2026-07-11T12:41:55.595278,??,active files under 01_research_design through 08_documents,"confirmed superseded, archived, backup, deprecated, or generated old version",2026-07-12T15:14:55.088097+00:00,deleted
