base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V03_S030_R03,25,3,30,102.95705892134175
C025_V05_S030_R01,25,5,30,75.28506060658349
C025_V05_S030_R02,25,5,30,65.6881114563876
C025_V05_S030_R03,25,5,30,51.462864951090815
C025_V05_S030_R04,25,5,30,82.6353721942172
C025_V05_S030_R05,25,5,30,66.40201524399599
C025_V01_S031_R01,25,1,31,217.88414201348695
C025_V03_S031_R01,25,3,31,79.87961502813758
C025_V03_S031_R02,25,3,31,112.8672873496495
C025_V03_S031_R03,25,3,31,91.18981295435842
C025_V05_S031_R01,25,5,31,91.18981295435842
C025_V05_S031_R02,25,5,31,49.223930339318194
C025_V05_S031_R03,25,5,31,50.36099760016879
C025_V05_S031_R04,25,5,31,59.56236419054092
C025_V05_S031_R05,25,5,31,64.38472182608203
C025_V01_S032_R01,25,1,32,199.24710688931424
C025_V03_S032_R01,25,3,32,93.46347430529896
C025_V03_S032_R02,25,3,32,89.30779276742666
C025_V03_S032_R03,25,3,32,42.25621778680277
C025_V05_S032_R01,25,5,32,42.25621778680277
C025_V05_S032_R02,25,5,32,79.66989707425925
C025_V05_S032_R03,25,5,32,76.58909757298049
C025_V05_S032_R04,25,5,32,39.154908188646246
C025_V05_S032_R05,25,5,32,65.42098426179444
C025_V01_S033_R01,25,1,33,223.1964616077123
C025_V03_S033_R01,25,3,33,66.96102077275751
C025_V03_S033_R02,25,3,33,136.16380292428278
C025_V03_S033_R03,25,3,33,66.91709180753422
C025_V05_S033_R01,25,5,33,66.96102077275751
C025_V05_S033_R02,25,5,33,46.00637083620256
C025_V05_S033_R03,25,5,33,75.58013697201116
C025_V05_S033_R04,25,5,33,108.6444361162324
C025_V05_S033_R05,25,5,33,29.753682567653943
C025_V01_S034_R01,25,1,34,204.16264108343657
C025_V03_S034_R01,25,3,34,83.28143382974372
C025_V03_S034_R02,25,3,34,74.01525737494617
C025_V03_S034_R03,25,3,34,93.3688682359945
C025_V05_S034_R01,25,5,34,48.03065300027374
C025_V05_S034_R02,25,5,34,85.62012963329798
C025_V05_S034_R03,25,5,34,34.961961066008115
C025_V05_S034_R04,25,5,34,49.057066108492094
C025_V05_S034_R05,25,5,34,76.64859234050327
C025_V01_S035_R01,25,1,35,187.54628384131817
C025_V03_S035_R01,25,3,35,71.91352766522833
C025_V03_S035_R02,25,3,35,98.34729867236474
C025_V03_S035_R03,25,3,35,66.84200343295315
C025_V05_S035_R01,25,5,35,35.776616287141614
C025_V05_S035_R02,25,5,35,56.05219515830099
C025_V05_S035_R03,25,5,35,69.51886316384476
C025_V05_S035_R04,25,5,35,100.63908963054224
C025_V05_S035_R05,25,5,35,39.07192427577925
C025_V01_S036_R01,25,1,36,200.1561703606557
C025_V03_S036_R01,25,3,36,66.89608238898407
C025_V03_S036_R02,25,3,36,81.8545826603758
C025_V03_S036_R03,25,3,36,116.5730363465916
C025_V05_S036_R01,25,5,36,38.37332018154839
C025_V05_S036_R02,25,5,36,116.5730363465916
C025_V05_S036_R03,25,5,36,40.601693578128
C025_V05_S036_R04,25,5,36,66.08437498887125
C025_V05_S036_R05,25,5,36,42.737797085743054
C025_V01_S037_R01,25,1,37,199.0658449639211
C025_V03_S037_R01,25,3,37,54.06872081211185
C025_V03_S037_R02,25,3,37,83.81580176276748
C025_V03_S037_R03,25,3,37,96.83928617956728
C025_V05_S037_R01,25,5,37,73.19358399843745
C025_V05_S037_R02,25,5,37,59.99643412107572
C025_V05_S037_R03,25,5,37,64.41643615120685
C025_V05_S037_R04,25,5,37,40.67564630253514
C025_V05_S037_R05,25,5,37,57.74607167085711
C025_V01_S038_R01,25,1,38,184.36227049000496
C025_V03_S038_R01,25,3,38,58.71504141797773
C025_V03_S038_R02,25,3,38,96.88218809995176
C025_V03_S038_R03,25,3,38,88.56214525768296
C025_V05_S038_R01,25,5,38,88.56214525768296
