scenario_id,seed,constraint_name,case_unmet_rate
C025_V01_CHG_conservative_SPEED25_T480,22,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,22,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,22,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,22,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,22,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,22,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,22,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,23,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,23,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,23,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,23,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,23,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,23,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,23,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,23,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,23,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,24,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,24,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,24,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,24,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,24,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,24,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,24,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,24,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,24,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,25,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,25,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,25,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,25,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,25,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,25,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,25,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,25,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,25,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,26,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,26,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,26,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,26,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,26,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,26,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,26,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,26,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,26,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,27,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,27,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,27,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,27,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,27,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,27,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,27,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,27,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,27,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,28,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,28,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,28,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,28,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,28,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,28,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,28,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,28,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,28,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,29,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,29,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,29,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,29,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,29,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,29,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,29,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,29,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,29,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,30,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,30,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,30,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,30,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,30,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,30,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,30,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,30,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,30,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,31,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,31,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,31,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,31,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,31,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,31,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,31,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,31,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,31,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,32,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,32,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,32,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,32,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,32,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,32,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,32,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,32,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,32,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,33,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,33,Payload capacity,0.0
