scenario_id,customer_count,vehicle_count,charger_condition,constraint_name,route_weighted_unmet_rate,confidence_interval_lower,confidence_interval_upper,evaluated_route_count,unmet_route_count,independent_seed_count,bootstrap_iterations
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Charging-station access,0.18,0.13333333333333333,0.22666666666666666,300,54,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Charging-station access,0.398,0.362,0.438,500,199,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Charging-station access,0.0,0.0,0.0,100,0,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Charging-station access,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Charging-station access,0.06333333333333334,0.03666666666666667,0.09,300,19,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Charging-station access,0.0,0.0,0.0,500,0,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Charging-station access,0.244,0.212,0.27604999999999996,500,122,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Charging-assisted range feasibility,0.0,0.0,0.0,187,0,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Charging-assisted range feasibility,0.0,0.0,0.0,187,0,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Charging-assisted range feasibility,0.4385026737967914,0.37373301985370955,0.502622188423177,187,82,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Charging-assisted range feasibility,0.0,0.0,0.0,100,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Charging-assisted range feasibility,0.0,0.0,0.0,100,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Charging-assisted range feasibility,0.62,0.5110992907801418,0.7184466019417476,100,62,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Charging-assisted range feasibility,0.05673758865248227,0.03496198923028192,0.08304001203369434,282,16,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Charging-assisted range feasibility,0.05673758865248227,0.03168736100815419,0.08391608391608392,282,16,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Charging-assisted range feasibility,0.21631205673758866,0.17132867132867133,0.26618705035971224,282,61,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Charging-assisted range feasibility,0.0048543689320388345,0.0,0.01564198369565216,206,1,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Charging-assisted range feasibility,0.0048543689320388345,0.0,0.015710961522479843,206,1,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Charging-assisted range feasibility,0.3592233009708738,0.29473557081108565,0.41784037558685444,206,74,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Charging-assisted range feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Charging-assisted range feasibility,0.44,0.4,0.4766666666666667,300,132,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Charging-assisted range feasibility,0.44,0.4033333333333333,0.4766666666666667,300,132,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Charging-assisted range feasibility,0.48,0.44,0.5233333333333333,300,144,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Charging-assisted range feasibility,0.03561643835616438,0.016852752336889813,0.055248618784530384,365,13,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Charging-assisted range feasibility,0.03561643835616438,0.01881720430107527,0.055267403314917106,365,13,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Charging-assisted range feasibility,0.2493150684931507,0.21428571428571427,0.28491730664347514,365,91,100,1000
C025_V01_CHG_balanced_SPEED25_T480,25,1,balanced,Charging-duration feasibility,0.66,0.57,0.75,100,66,100,1000
C025_V01_CHG_broad_SPEED25_T480,25,1,broad,Charging-duration feasibility,0.05,0.01,0.1,100,5,100,1000
C025_V01_CHG_conservative_SPEED25_T480,25,1,conservative,Charging-duration feasibility,0.6129032258064516,0.5168446721817509,0.7065217391304348,93,57,100,1000
C025_V03_CHG_balanced_SPEED25_T480,25,3,balanced,Charging-duration feasibility,0.0,0.0,0.0,187,0,100,1000
C025_V03_CHG_broad_SPEED25_T480,25,3,broad,Charging-duration feasibility,0.0,0.0,0.0,187,0,100,1000
C025_V03_CHG_conservative_SPEED25_T480,25,3,conservative,Charging-duration feasibility,0.0,0.0,0.0,105,0,100,1000
C025_V05_CHG_balanced_SPEED25_T480,25,5,balanced,Charging-duration feasibility,0.0,0.0,0.0,100,0,100,1000
C025_V05_CHG_broad_SPEED25_T480,25,5,broad,Charging-duration feasibility,0.0,0.0,0.0,100,0,100,1000
C025_V05_CHG_conservative_SPEED25_T480,25,5,conservative,Charging-duration feasibility,0.0,0.0,0.0,38,0,100,1000
C050_V01_CHG_balanced_SPEED25_T480,50,1,balanced,Charging-duration feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V01_CHG_broad_SPEED25_T480,50,1,broad,Charging-duration feasibility,0.9,0.84,0.95,100,90,100,1000
C050_V01_CHG_conservative_SPEED25_T480,50,1,conservative,Charging-duration feasibility,1.0,1.0,1.0,100,100,100,1000
C050_V03_CHG_balanced_SPEED25_T480,50,3,balanced,Charging-duration feasibility,0.0,0.0,0.0,282,0,100,1000
C050_V03_CHG_broad_SPEED25_T480,50,3,broad,Charging-duration feasibility,0.0,0.0,0.0,282,0,100,1000
C050_V03_CHG_conservative_SPEED25_T480,50,3,conservative,Charging-duration feasibility,0.0,0.0,0.0,234,0,100,1000
C050_V05_CHG_balanced_SPEED25_T480,50,5,balanced,Charging-duration feasibility,0.0,0.0,0.0,206,0,100,1000
C050_V05_CHG_broad_SPEED25_T480,50,5,broad,Charging-duration feasibility,0.0,0.0,0.0,206,0,100,1000
C050_V05_CHG_conservative_SPEED25_T480,50,5,conservative,Charging-duration feasibility,0.0,0.0,0.0,133,0,100,1000
C100_V01_CHG_balanced_SPEED25_T480,100,1,balanced,Charging-duration feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_broad_SPEED25_T480,100,1,broad,Charging-duration feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V01_CHG_conservative_SPEED25_T480,100,1,conservative,Charging-duration feasibility,1.0,1.0,1.0,100,100,100,1000
C100_V03_CHG_balanced_SPEED25_T480,100,3,balanced,Charging-duration feasibility,0.04666666666666667,0.023333333333333334,0.07,300,14,100,1000
C100_V03_CHG_broad_SPEED25_T480,100,3,broad,Charging-duration feasibility,0.0,0.0,0.0,300,0,100,1000
C100_V03_CHG_conservative_SPEED25_T480,100,3,conservative,Charging-duration feasibility,0.03558718861209965,0.014387199917485367,0.05944055944055944,281,10,100,1000
C100_V05_CHG_balanced_SPEED25_T480,100,5,balanced,Charging-duration feasibility,0.0,0.0,0.0,365,0,100,1000
C100_V05_CHG_broad_SPEED25_T480,100,5,broad,Charging-duration feasibility,0.0,0.0,0.0,365,0,100,1000
C100_V05_CHG_conservative_SPEED25_T480,100,5,conservative,Charging-duration feasibility,0.0,0.0,0.0,285,0,100,1000
